commodity,variety,package,pounds
Tomatoes,VINE RIPES,cartons 2 layer,20.0
Tomatoes,MATURE GREENS,25 lb cartons loose,25.0
Tomatoes,VINE RIPES,25 lb cartons loose,25.0
Tomatoes,IMMATURE GREENS,25 lb cartons loose,25.0
Tomatoes,VINE RIPES,11 lb flats,11.0
Tomatoes,VINE RIPES,5 kg/11 lb flats,11.0
Tomatoes,VINE RIPES,20 lb cartons loose,20.0
Tomatoes,VINE RIPES,10 lb cartons,10.0
Tomatoes,VINE RIPE - HEIRLOOM VARIETIES,10 lb cartons,10.0
Tomatoes,IMMATURE GREENS,20 lb cartons loose,20.0
Tomatoes,VINE RIPES,25 lb cartons place pack,25.0
Tomatoes,VINE RIPES,15 lb flats,15.0
Tomatoes,N/A,15 lb flats,15.0
Tomatoes,VINE RIPES,flats 2 layer,
Tomatoes,VINE RIPES,flats 1 layer,15.0
Tomatoes,MATURE GREENS,25 lb cartons place pack,25.0
Tomatoes,VINE RIPE - HEIRLOOM VARIETIES,10 lb flats,10.0
